6,54,2024-07-17T08:36:56+00:00,2023-12-21T14:21:57+00:00
45,23,2024-02-16T15:18:18+00:00,2024-09-02T09:21:40+00:00
45,64,2024-06-26T09:13:00+00:00,2024-04-11T21:15:00+00:00
57,56,2024-02-10T14:36:13+00:00,2024-08-30T14:26:07+00:00
92,31,2024-09-06T20:51:57+00:00,2024-06-11T06:31:44+00:00
41,97,2023-10-25T09:15:14+00:00,2024-06-14T04:16:38+00:00
58,33,2024-08-19T19:28:40+00:00,2024-03-07T07:56:56+00:00
6,58,2024-09-21T23:25:38+00:00,2023-12-09T08:20:20+00:00
55,59,2024-04-27T10:34:50+00:00,2023-12-06T07:21:55+00:00
11,74,2024-01-20T08:56:12+00:00,2023-12-07T13:23:35+00:00
46,98,2024-01-20T03:38:07+00:00,2024-03-21T08:07:58+00:00
62,32,2023-12-25T12:57:03+00:00,2024-02-14T00:35:42+00:00
72,84,2023-12-21T14:05:28+00:00,2024-07-10T02:41:52+00:00
64,94,2023-12-22T11:17:04+00:00,2024-06-11T16:35:21+00:00
47,37,2024-02-29T20:02:42+00:00,2024-07-03T10:06:14+00:00
85,93,2024-03-24T07:42:03+00:00,2024-06-27T22:43:40+00:00
91,64,2023-11-30T09:44:18+00:00,2024-02-21T01:26:18+00:00
52,23,2024-08-28T20:52:02+00:00,2024-02-05T08:41:15+00:00
16,80,2024-05-11T21:27:01+00:00,2024-07-01T13:06:42+00:00
44,91,2023-12-18T20:46:23+00:00,2024-01-19T13:13:22+00:00
32,92,2024-07-30T06:35:25+00:00,2024-06-18T09:53:35+00:00
15,6,2024-09-02T10:34:09+00:00,2024-01-22T11:31:11+00:00
7,96,2023-10-17T11:43:42+00:00,2024-09-10T14:49:28+00:00
53,7,2024-07-20T22:06:05+00:00,2024-03-05T06:06:46+00:00
15,58,2023-12-16T02:23:23+00:00,2023-11-30T06:04:02+00:00
41,57,2024-06-06T11:56:43+00:00,2024-02-20T23:25:38+00:00
99,58,2024-07-23T18:45:19+00:00,2024-06-11T01:15:22+00:00
95,89,2023-12-02T14:13:59+00:00,2024-03-13T19:12:41+00:00
29,14,2024-05-24T15:28:28+00:00,2023-11-11T02:46:51+00:00
70,30,2024-02-25T17:00:41+00:00,2024-08-12T08:32:36+00:00
37,88,2024-01-07T14:57:24+00:00,2024-04-25T23:41:08+00:00
46,9,2023-11-21T01:45:33+00:00,2024-03-02T07:59:55+00:00
17,88,2024-05-14T17:05:11+00:00,2024-07-07T14:13:33+00:00
31,60,2023-11-06T00:29:53+00:00,2023-10-21T00:38:06+00:00
46,22,2024-09-19T12:23:32+00:00,2024-09-13T10:10:30+00:00
92,35,2024-07-18T23:58:38+00:00,2024-02-09T09:34:04+00:00
10,72,2023-11-25T00:11:15+00:00,2024-09-23T05:45:31+00:00
61,92,2023-11-29T19:25:33+00:00,2023-10-23T14:40:02+00:00
42,98,2024-03-25T19:46:22+00:00,2023-10-20T04:45:07+00:00
12,32,2024-06-20T21:18:38+00:00,2023-12-12T11:46:35+00:00
17,96,2023-11-25T02:01:21+00:00,2024-08-15T21:33:18+00:00
52,81,2023-10-15T16:22:58+00:00,2024-09-02T03:54:14+00:00
50,67,2024-08-13T19:38:57+00:00,2024-04-24T15:59:11+00:00
40,96,2024-08-29T23:38:10+00:00,2023-11-13T17:10:09+00:00
96,78,2023-11-24T00:11:42+00:00,2024-07-01T21:09:18+00:00
2,57,2024-09-01T09:27:20+00:00,2024-03-19T19:57:02+00:00
14,43,2024-08-22T23:35:08+00:00,2024-07-27T14:25:36+00:00
2,60,2023-11-01T01:23:08+00:00,2023-10-20T01:07:21+00:00
3,89,2024-06-25T03:45:16+00:00,2023-12-04T06:06:54+00:00
72,33,2024-08-12T05:19:56+00:00,2024-03-01T15:53:33+00:00
81,26,2024-02-11T08:42:29+00:00,2024-09-03T05:07:59+00:00
100,99,2024-08-06T06:14:08+00:00,2024-06-10T00:56:09+00:00
42,12,2024-05-27T01:17:39+00:00,2024-04-22T12:38:50+00:00
73,81,2024-05-08T20:51:03+00:00,2023-10-16T14:54:45+00:00
40,25,2024-04-18T00:07:43+00:00,2024-05-20T00:11:51+00:00
75,8,2024-06-19T20:49:39+00:00,2023-11-29T02:44:53+00:00
35,55,2024-07-15T05:50:52+00:00,2024-06-30T09:16:11+00:00
85,99,2024-07-24T18:22:24+00:00,2024-08-04T09:37:01+00:00
24,15,2024-04-23T11:29:11+00:00,2024-09-07T12:15:47+00:00
54,45,2024-06-10T03:18:37+00:00,2024-08-17T03:50:06+00:00
78,3,2024-04-19T01:15:11+00:00,2024-06-23T10:35:36+00:00
41,20,2024-08-03T10:19:19+00:00,2024-07-06T22:23:55+00:00
68,80,2024-01-22T07:07:10+00:00,2023-11-17T16:58:15+00:00
100,63,2024-04-03T20:33:31+00:00,2024-08-27T10:37:40+00:00
61,95,2024-04-16T22:32:45+00:00,2024-05-06T02:06:58+00:00
91,23,2024-03-17T07:44:10+00:00,2023-11-16T21:59:28+00:00
73,37,2024-07-07T17:58:04+00:00,2023-10-01T03:07:08+00:00
58,41,2023-10-28T07:07:08+00:00,2023-11-01T00:52:59+00:00
26,5,2024-06-21T23:33:11+00:00,2024-01-09T17:43:52+00:00
47,59,2023-11-22T16:53:44+00:00,2024-02-26T04:33:39+00:00
99,41,2024-05-22T20:57:22+00:00,2024-05-01T08:28:39+00:00
3,82,2023-10-22T09:19:18+00:00,2024-08-14T16:31:44+00:00
59,65,2024-02-26T20:57:47+00:00,2024-05-14T20:45:50+00:00
13,12,2023-11-05T21:13:30+00:00,2024-04-13T06:17:49+00:00
6,42,2024-07-23T05:42:53+00:00,2024-06-13T12:22:03+00:00
43,41,2024-07-27T17:17:03+00:00,2024-07-17T04:57:10+00:00
84,40,2024-09-02T08:26:04+00:00,2024-08-12T06:44:11+00:00
100,57,2023-09-27T06:06:09+00:00,2024-09-09T20:20:13+00:00
61,63,2024-09-13T16:41:47+00:00,2024-06-15T01:05:42+00:00
37,18,2023-12-14T11:03:05+00:00,2024-05-13T23:26:05+00:00
98,42,2024-05-18T22:41:00+00:00,2023-11-07T21:57:31+00:00
72,42,2024-08-04T01:21:35+00:00,2023-11-27T07:26:50+00:00
92,47,2023-11-06T13:13:42+00:00,2024-02-27T11:21:31+00:00
31,64,2024-04-03T20:08:39+00:00,2024-06-05T06:19:51+00:00
28,91,2023-12-01T13:32:33+00:00,2024-06-18T18:03:14+00:00
49,70,2024-01-04T16:56:11+00:00,2024-02-04T21:32:09+00:00
33,27,2024-02-22T09:05:45+00:00,2023-09-25T19:32:16+00:00
15,93,2024-08-30T08:01:59+00:00,2024-08-14T13:34:41+00:00
75,54,2024-08-18T11:07:28+00:00,2024-02-12T22:56:27+00:00
24,38,2024-01-26T02:21:27+00:00,2023-12-15T20:33:15+00:00
25,66,2024-03-30T06:55:29+00:00,2023-11-29T20:47:15+00:00
61,27,2024-01-03T11:42:39+00:00,2024-09-12T05:55:47+00:00
31,84,2023-12-03T04:01:05+00:00,2024-05-04T21:10:12+00:00
82,58,2024-08-14T00:45:42+00:00,2024-01-16T06:19:46+00:00
17,60,2023-11-16T13:37:18+00:00,2024-08-09T21:48:00+00:00
1,11,2023-10-30T11:21:28+00:00,2024-06-28T23:13:11+00:00
43,48,2023-10-14T15:15:39+00:00,2024-08-28T21:29:19+00:00
83,10,2024-03-16T20:44:28+00:00,2024-01-27T10:18:34+00:00
61,31,2024-09-14T19:43:53+00:00,2024-03-04T16:59:48+00:00
84,43,2024-04-10T18:15:59+00:00,2024-06-20T19:17:54+00:00
